id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23163,Rental unit in Prague · ★4.90 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,3619,1,29,2023-12-18,0.18,74,0,7,
23169,Rental unit in Prague · ★4.73 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,2942,1,114,2023-11-21,0.69,74,20,19,
26755,Rental unit in Prague · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,3328,3,343,2023-12-14,3.28,3,47,57,
30762,Serviced apartment in Prague · ★4.75 · 2 bedrooms · 3 beds · 1 bath,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,6061,1,16,2023-10-30,0.10,74,23,4,
42514,Rental unit in Prague · ★4.76 · 1 bedroom · 2 beds · 1 bath,185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,3766,7,333,2023-04-30,2.05,1,362,1,
52148,Rental unit in Prague · ★4.59 · 1 bedroom · 4 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.06996574291571,14.430666050424191,Entire home/apt,1818,1,210,2023-12-18,1.31,95,61,78,
55844,Rental unit in Prague · ★4.51 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07795,14.43388,Entire home/apt,1485,2,430,2023-12-17,2.68,95,34,65,
55856,Rental unit in Prague · ★4.57 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07617,14.43308,Entire home/apt,1387,2,341,2023-12-09,2.13,95,0,68,
70003,Rental unit in Prague · ★4.40 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08557,14.45098,Entire home/apt,1345,2,225,2023-12-09,1.45,95,60,46,
75298,Rental unit in Prague · ★4.74 · 1 bedroom · 1 bed · 1 bath,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,2063,3,34,2023-08-14,0.38,2,340,9,
76254,Tiny home in Prague · ★4.53 · 1 bedroom · 2 beds · 1.5 baths,406700,Rena,,Praha 2,50.06996,14.43516,Entire home/apt,1002,2,163,2023-09-09,1.07,1,145,7,
79373,Rental unit in Prague · ★4.67 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,2942,1,50,2023-12-17,0.32,74,23,5,
79381,Rental unit in Prague · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2942,1,17,2023-12-04,0.11,74,26,3,
79387,Rental unit in Prague · ★4.81 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2942,1,27,2023-07-16,0.17,74,9,6,
79711,Rental unit in Prague · ★4.61 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08051,14.41487,Entire home/apt,3203,1,18,2020-03-08,0.13,74,25,0,
83067,Rental unit in Prague · ★4.53 · 1 bedroom · 4 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,3058,3,211,2023-11-20,1.38,14,0,26,
83855,Rental unit in Prague · ★4.57 · 1 bedroom · 3 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,3093,3,239,2023-12-03,1.70,14,50,24,
83856,Rental unit in Prague · ★4.64 · 1 bedroom · 3 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,3653,3,380,2023-12-03,2.46,14,0,56,
85790,Rental unit in Prague · ★4.60 · 3 bedrooms · 12 beds · 1.5 baths,383698,Viktor,,Praha 1,50.07744,14.4141,Entire home/apt,3730,1,128,2023-11-26,0.85,33,291,34,
85884,Rental unit in Prague · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,423259,Zsofia,,Praha 7,50.10175,14.43304,Private room,667,30,61,2022-12-31,0.41,15,98,1,
106207,Rental unit in Prague · ★4.60 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08766,14.451,Entire home/apt,1198,2,291,2023-12-18,1.92,95,0,51,
109549,Condo in Prague · ★4.79 · 2 bedrooms · 2 beds · 1 bath,565267,Taťjana,,Praha 1,50.09104,14.42533,Entire home/apt,3981,20,170,2023-10-11,1.13,2,176,4,
111141,Rental unit in Prague · ★4.49 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08589,14.45203,Entire home/apt,1072,2,235,2023-12-15,1.56,95,61,38,
112281,Rental unit in Prague · ★4.59 · 1 bedroom · 2 beds · 0 baths,227945,Alex And Kate,,Praha 1,50.07905,14.42732,Entire home/apt,1801,2,254,2023-12-02,1.70,95,38,26,
117451,Loft in Prague · ★4.70 · 1 bedroom · 2 beds · 1 bath,546587,Kristina,,Praha 5,50.06625,14.40245,Entire home/apt,2057,1,313,2023-12-14,2.15,2,286,22,
146690,Rental unit in Prague · ★4.92 · 2 bedrooms · 6 beds · 1 bath,589265,Jan,,Praha 3,50.08529,14.44532,Entire home/apt,2599,6,380,2023-11-20,2.50,2,127,29,
167878,Rental unit in Praha 8 · 2 bedrooms · 2 beds · 1 bath,800205,Peter,,Praha 8,50.10546,14.4707,Entire home/apt,4659,10,0,,,1,88,0,
173114,Condo in Prague · ★4.68 · 1 bedroom · 1 bed · 1 bath,826315,Idan & Marta,,Praha 1,50.09024,14.4248,Entire home/apt,2708,3,370,2023-12-19,2.46,1,306,30,
176243,Rental unit in Prague · ★4.62 · 3 bedrooms · 4 beds · 1 bath,838198,Michael,,Praha 1,50.08827218384488,14.423229476115441,Entire home/apt,5671,4,417,2023-12-11,2.87,48,0,47,
181641,Rental unit in Prague 1 - Old Town · ★4.19 · 1 bedroom · 1 bed · 1 bath,870664,Jan,,Praha 1,50.08685,14.41432,Entire home/apt,1226,2,184,2020-01-26,1.28,9,18,0,
181951,Rental unit in Prague · ★4.03 · 1 bedroom · 2 beds · 1 bath,870664,Jan,,Praha 1,50.08267,14.42895,Entire home/apt,1177,2,138,2023-12-04,0.93,9,73,8,
182072,Condo in Prague · ★4.24 · 1 bedroom · 3 beds · 1 bath,870664,Jan,,Praha 3,50.0795,14.44812,Entire home/apt,1765,2,34,2023-09-05,0.23,9,71,5,
182772,Rental unit in Prague · ★4.64 · 1 bedroom · 2 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08354,14.41276,Entire home/apt,3163,3,185,2023-12-02,1.23,14,50,48,
183338,Rental unit in Prague · ★4.79 · 1 bedroom · 3 beds · 1 bath,850917,Slavomir,,Praha 1,50.0792350769043,14.429807662963867,Entire home/apt,1832,2,271,2023-12-14,1.96,2,0,79,
186750,Rental unit in Prague · ★4.76 · 1 bedroom · 2 beds · 1 bath,783726,Mathieu,,Praha 3,50.08499,14.45316,Entire home/apt,2243,3,548,2023-12-17,3.96,3,0,66,
191254,Rental unit in Prague · ★4.72 · 2 bedrooms · 4 beds · 1 bath,227945,Alex And Kate,,Praha 1,50.08136,14.41477,Entire home/apt,2879,2,366,2023-12-05,2.45,95,16,57,
191474,Rental unit in Prague · ★4.59 · 1 bedroom · 3 beds · 1 bath,333807,Marco,,Praha 1,50.09124,14.42863,Entire home/apt,4193,2,36,2023-08-18,0.24,9,334,4,
191547,Rental unit in Prague · ★4.64 · 2 bedrooms · 2 beds · 2 baths,333807,Marco,,Praha 1,50.09124,14.42863,Entire home/apt,5793,2,45,2023-10-31,0.31,9,308,3,
191554,Rental unit in Prague · ★4.22 · 1 bedroom · 1 bed · 1 bath,333807,Marco,,Praha 1,50.09124,14.42863,Entire home/apt,2183,2,55,2023-12-06,0.37,9,330,8,
199947,Rental unit in Prague 01 · ★4.63 · 3 bedrooms · 7 beds · 2 baths,955586,Eric,,Praha 1,50.080511866766244,14.420989570206713,Entire home/apt,12848,1,138,2023-12-15,0.94,8,46,7,
201908,Rental unit in Prague · ★4.65 · 1 bedroom · 1 bed · 1 bath,955586,Eric,,Praha 5,50.08033,14.40353,Entire home/apt,,1,43,2023-12-15,0.30,8,0,13,
202545,Rental unit in Prague · ★4.59 · 4 bedrooms · 8 beds · 2.5 baths,955586,Eric,,Praha 5,50.07912,14.40417,Entire home/apt,23833,1,45,2023-10-21,0.30,8,349,5,
207373,Rental unit in Prague · ★4.64 · 3 bedrooms · 12 beds · 2 baths,383698,Viktor,,Praha 1,50.07688,14.41391,Entire home/apt,4389,1,238,2023-11-19,1.68,33,0,29,
208007,Rental unit in Prague · ★4.46 · 2 bedrooms · 7 beds · 1 bath,383698,Viktor,,Praha 1,50.07687,14.41414,Entire home/apt,3871,1,143,2023-10-21,0.97,33,347,24,
209774,Rental unit in Prague · ★4.15 · 3 bedrooms · 12 beds · 1.5 baths,383698,Viktor,,Praha 2,50.07755,14.42015,Entire home/apt,3948,1,68,2023-11-18,0.47,33,303,8,
224386,Rental unit in Prague · ★4.27 · 3 bedrooms · 12 beds · 2 baths,383698,Viktor,,Praha 1,50.09146,14.41863,Entire home/apt,4389,1,160,2023-10-31,1.22,33,0,2,
224457,Rental unit in Prague · ★4.57 · 2 bedrooms · 6 beds · 1 bath,1167278,Jane And George,,Praha 1,50.08737,14.41071,Entire home/apt,3573,2,260,2023-11-05,1.74,1,49,14,
